state_fips,state,state_abbr,zipcode,county,city,citylower
36,New york,NY,12494,Ulster,West shokan,west shokan
36,New york,NY,12495,Ulster,Willow,willow
36,New york,NY,12496,Greene,Windham,windham
36,New york,NY,12498,Ulster,Woodstock,woodstock
36,New york,NY,124HH,Delaware,Zcta 124hh,zcta 124hh
36,New york,NY,12501,Dutchess,Amenia,amenia
36,New york,NY,12502,Columbia,Ancram,ancram
36,New york,NY,12503,Columbia,Ancramdale,ancramdale
36,New york,NY,12507,Dutchess,Barrytown,barrytown
36,New york,NY,12508,Dutchess,Beacon,beacon
36,New york,NY,12513,Columbia,Claverack,claverack
36,New york,NY,12514,Dutchess,Clinton corners,clinton corners
36,New york,NY,12515,Ulster,Clintondale,clintondale
36,New york,NY,12516,Columbia,Copake,copake
36,New york,NY,12517,Columbia,Copake falls,copake falls
36,New york,NY,12518,Orange,Cornwall,cornwall
36,New york,NY,12520,Orange,Cornwall on huds,cornwall on huds
36,New york,NY,12521,Columbia,Craryville,craryville
36,New york,NY,12522,Dutchess,Dover plains,dover plains
36,New york,NY,12523,Columbia,Elizaville,elizaville
36,New york,NY,12524,Dutchess,Fishkill,fishkill
36,New york,NY,12525,Ulster,Gardiner,gardiner
36,New york,NY,12526,Columbia,Germantown,germantown
36,New york,NY,12528,Ulster,Highland,highland
36,New york,NY,12529,Columbia,Hillsdale,hillsdale
36,New york,NY,12531,Dutchess,Holmes,holmes
36,New york,NY,12533,Dutchess,Hopewell junctio,hopewell junctio
36,New york,NY,12534,Columbia,Hudson,hudson
36,New york,NY,12538,Dutchess,Hyde park,hyde park
36,New york,NY,12540,Dutchess,Lagrangeville,lagrangeville
36,New york,NY,12542,Ulster,Marlboro,marlboro
36,New york,NY,12543,Orange,Maybrook,maybrook
36,New york,NY,12545,Dutchess,Millbrook,millbrook
36,New york,NY,12546,Dutchess,Millerton,millerton
36,New york,NY,12547,Ulster,Milton,milton
36,New york,NY,12548,Ulster,Modena,modena
36,New york,NY,12549,Orange,Montgomery,montgomery
36,New york,NY,12550,Orange,Middle hope,middle hope
36,New york,NY,12553,Orange,New windsor,new windsor
36,New york,NY,12561,Ulster,Mohonk lake,mohonk lake
36,New york,NY,12563,Putnam,Patterson,patterson
36,New york,NY,12564,Dutchess,Pawling,pawling
36,New york,NY,12565,Columbia,Philmont,philmont
36,New york,NY,12566,Ulster,Pine bush,pine bush
36,New york,NY,12567,Dutchess,Pine plains,pine plains
36,New york,NY,12569,Dutchess,Pleasant valley,pleasant valley
36,New york,NY,12570,Dutchess,Poughquag,poughquag
36,New york,NY,12571,Dutchess,Red hook,red hook
36,New york,NY,12572,Dutchess,Rhinebeck,rhinebeck
36,New york,NY,12575,Orange,Rock tavern,rock tavern
36,New york,NY,12577,Orange,Salisbury mills,salisbury mills
36,New york,NY,12578,Dutchess,Salt point,salt point
36,New york,NY,12580,Dutchess,Staatsburg,staatsburg
36,New york,NY,12581,Dutchess,Stanfordville,stanfordville
36,New york,NY,12582,Dutchess,Stormville,stormville
36,New york,NY,12583,Dutchess,Tivoli,tivoli
36,New york,NY,12585,Dutchess,Verbank,verbank
36,New york,NY,12586,Orange,Walden,walden
36,New york,NY,12589,Ulster,Wallkill,wallkill
36,New york,NY,12590,Dutchess,New hamburg,new hamburg
36,New york,NY,12592,Dutchess,Wassaic,wassaic
36,New york,NY,12594,Dutchess,Wingdale,wingdale
36,New york,NY,125HH,Columbia,Zcta 125hh,zcta 125hh
36,New york,NY,125XX,Orange,Zcta 125xx,zcta 125xx
36,New york,NY,12601,Dutchess,South road,south road
36,New york,NY,12603,Dutchess,Arlington,arlington
36,New york,NY,126HH,Dutchess,Zcta 126hh,zcta 126hh
36,New york,NY,12701,Sullivan,Monticello,monticello
36,New york,NY,12719,Sullivan,Barryville,barryville
36,New york,NY,12720,Sullivan,Bethel,bethel
36,New york,NY,12721,Sullivan,Bloomingburg,bloomingburg
36,New york,NY,12723,Sullivan,Callicoon,callicoon
36,New york,NY,12724,Sullivan,Callicoon center,callicoon center
36,New york,NY,12725,Ulster,Claryville,claryville
36,New york,NY,12726,Sullivan,Fosterdale,fosterdale
36,New york,NY,12727,Sullivan,Cochecton center,cochecton center
36,New york,NY,12729,Orange,Cuddebackville,cuddebackville
36,New york,NY,12732,Sullivan,Eldred,eldred
36,New york,NY,12733,Sullivan,Fallsburg,fallsburg
36,New york,NY,12734,Sullivan,Grossinger,grossinger
36,New york,NY,12736,Sullivan,Fremont center,fremont center
36,New york,NY,12737,Sullivan,Glen spey,glen spey
36,New york,NY,12738,Sullivan,Glen wild,glen wild
36,New york,NY,12739,Orange,Godeffroy,godeffroy
36,New york,NY,12740,Sullivan,Grahamsville,grahamsville
36,New york,NY,12741,Sullivan,Mileses,mileses
36,New york,NY,12742,Sullivan,Harris,harris
36,New york,NY,12743,Sullivan,Highland lake,highland lake
36,New york,NY,12746,Orange,Huguenot,huguenot
36,New york,NY,12747,Sullivan,Hurleyville,hurleyville
36,New york,NY,12748,Sullivan,Jeffersonville,jeffersonville
36,New york,NY,12749,Sullivan,Kauneonga lake,kauneonga lake
36,New york,NY,12751,Sullivan,Kiamesha lake,kiamesha lake
36,New york,NY,12752,Sullivan,Lake huntington,lake huntington
36,New york,NY,12754,Sullivan,Liberty,liberty
36,New york,NY,12758,Sullivan,Livingston manor,livingston manor
36,New york,NY,12759,Sullivan,Loch sheldrake,loch sheldrake
36,New york,NY,12760,Delaware,Long eddy,long eddy
36,New york,NY,12762,Sullivan,Mongaup valley,mongaup valley
36,New york,NY,12763,Sullivan,Mountain dale,mountain dale
36,New york,NY,12764,Sullivan,Narrowsburg,narrowsburg
36,New york,NY,12765,Sullivan,Neversink,neversink
36,New york,NY,12766,Sullivan,North branch,north branch
36,New york,NY,12768,Sullivan,Parksville,parksville
36,New york,NY,12770,Sullivan,Pond eddy,pond eddy
36,New york,NY,12771,Orange,Port jervis,port jervis
36,New york,NY,12775,Sullivan,Rock hill,rock hill
36,New york,NY,12776,Sullivan,Cook falls,cook falls
36,New york,NY,12777,Sullivan,Forestburgh,forestburgh
36,New york,NY,12778,Sullivan,Smallwood,smallwood
36,New york,NY,12779,Sullivan,South fallsburg,south fallsburg
36,New york,NY,12780,Orange,Sparrowbush,sparrowbush
36,New york,NY,12783,Sullivan,Swan lake,swan lake
36,New york,NY,12784,Sullivan,Thompsonville,thompsonville
36,New york,NY,12785,Sullivan,Westbrookville,westbrookville
36,New york,NY,12786,Sullivan,White lake,white lake
36,New york,NY,12787,Sullivan,White sulphur sp,white sulphur sp
36,New york,NY,12788,Sullivan,Woodbourne,woodbourne
36,New york,NY,12789,Sullivan,Woodridge,woodridge
36,New york,NY,12790,Sullivan,Wurtsboro,wurtsboro
36,New york,NY,12791,Sullivan,Youngsville,youngsville
36,New york,NY,12792,Sullivan,Yulan,yulan
36,New york,NY,127HH,Delaware,Zcta 127hh,zcta 127hh
36,New york,NY,12801,Warren,Queensbury,queensbury
36,New york,NY,12803,Saratoga,South glens fall,south glens fall
36,New york,NY,12804,Warren,Queensbury,queensbury
36,New york,NY,12808,Warren,Adirondack,adirondack
36,New york,NY,12809,Washington,Argyle,argyle
36,New york,NY,12810,Warren,Athol,athol
36,New york,NY,12812,Hamilton,Blue mountain la,blue mountain la
36,New york,NY,12814,Warren,Bolton landing,bolton landing
36,New york,NY,12815,Warren,Brant lake,brant lake
36,New york,NY,12816,Washington,Cambridge,cambridge
36,New york,NY,12817,Warren,Chestertown,chestertown
36,New york,NY,12819,Washington,Clemons,clemons
36,New york,NY,12821,Washington,Comstock,comstock
36,New york,NY,12822,Saratoga,Corinth,corinth
36,New york,NY,12823,Washington,Cossayuna,cossayuna
36,New york,NY,12824,Warren,Diamond point,diamond point
36,New york,NY,12827,Washington,Fort ann,fort ann
36,New york,NY,12828,Washington,Fort edward,fort edward
36,New york,NY,12831,Saratoga,Gansevoort,gansevoort
36,New york,NY,12832,Washington,Granville,granville
36,New york,NY,12833,Saratoga,Greenfield cente,greenfield cente
36,New york,NY,12834,Washington,Thomson,thomson
36,New york,NY,12835,Saratoga,Hadley,hadley
36,New york,NY,12836,Warren,Hague,hague
36,New york,NY,12837,Washington,Hampton,hampton
36,New york,NY,12838,Washington,Hartford,hartford
36,New york,NY,12839,Washington,Hudson falls,hudson falls
36,New york,NY,12841,Washington,Huletts landing,huletts landing
36,New york,NY,12842,Hamilton,Indian lake,indian lake
36,New york,NY,12843,Warren,Johnsburg,johnsburg
36,New york,NY,12844,Washington,Pilot knob,pilot knob
36,New york,NY,12845,Warren,Lake george,lake george
36,New york,NY,12846,Warren,Lake luzerne,lake luzerne
36,New york,NY,12847,Hamilton,Long lake,long lake
36,New york,NY,12849,Washington,Middle granville,middle granville
36,New york,NY,12850,Saratoga,Middle grove,middle grove
36,New york,NY,12851,Essex,Minerva,minerva
36,New york,NY,12852,Essex,Newcomb,newcomb
36,New york,NY,12853,Warren,North creek,north creek
36,New york,NY,12855,Essex,North hudson,north hudson
36,New york,NY,12856,Warren,North river,north river
36,New york,NY,12857,Essex,Olmstedville,olmstedville
36,New york,NY,12858,Essex,Paradox,paradox
36,New york,NY,12859,Saratoga,Porter corners,porter corners
36,New york,NY,12860,Warren,Pottersville,pottersville
36,New york,NY,12861,Washington,Putnam station,putnam station
36,New york,NY,12863,Saratoga,Rock city falls,rock city falls
36,New york,NY,12865,Washington,Salem,salem
36,New york,NY,12866,Saratoga,Wilton,wilton
36,New york,NY,12870,Essex,Schroon lake,schroon lake
36,New york,NY,12871,Saratoga,Schuylerville,schuylerville
36,New york,NY,12873,Washington,Shushan,shushan
36,New york,NY,12874,Warren,Silver bay,silver bay
36,New york,NY,12878,Warren,Stony creek,stony creek
36,New york,NY,12883,Essex,Ticonderoga,ticonderoga
36,New york,NY,12885,Warren,Warrensburg,warrensburg
36,New york,NY,12886,Warren,Wevertown,wevertown
36,New york,NY,12887,Washington,Whitehall,whitehall
36,New york,NY,128HH,Essex,Zcta 128hh,zcta 128hh
36,New york,NY,128XX,Hamilton,Zcta 128xx,zcta 128xx
36,New york,NY,12901,Clinton,Plattsburgh,plattsburgh
36,New york,NY,12903,Clinton,Plattsburgh a f,plattsburgh a f
36,New york,NY,12910,Clinton,Altona,altona
36,New york,NY,12911,Clinton,Au sable chasm,au sable chasm
36,New york,NY,12912,Clinton,Au sable forks,au sable forks
36,New york,NY,12913,Essex,Bloomingdale,bloomingdale
36,New york,NY,12914,Franklin,Bombay,bombay
36,New york,NY,12916,Franklin,Brushton,brushton
36,New york,NY,12917,Franklin,Burke,burke
36,New york,NY,12918,Clinton,Cadyville,cadyville
36,New york,NY,12919,Clinton,Champlain,champlain
36,New york,NY,12920,Franklin,Chateaugay,chateaugay
36,New york,NY,12921,Clinton,Chazy,chazy
36,New york,NY,12922,St. Lawrence,Childwold,childwold
36,New york,NY,12923,Clinton,Churubusco,churubusco
